task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
QA-SCHED-011-20260428,QA,Validation & Calibration Schedule,Vaccum OVEN QCI/02048,QCI/02048,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-012-20260428,QA,Validation & Calibration Schedule,Oven QCI/02012,QCI/02012,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-013-20260428,QA,Validation & Calibration Schedule,Bottle storage area,,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-22,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-014-20260428,QA,Validation & Calibration Schedule,PP Caps storage area,,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-22,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-015-20260428,QA,Validation & Calibration Schedule,Packing material sampling & dispensing area,,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-22,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-016-20260428,QA,Validation & Calibration Schedule,Sugar storage area,,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-22,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-017-20260428,QA,Validation & Calibration Schedule,Solvent satging area,,temperature_mapping,yearly,specific_date,2026-04-28,2026-05-08,2025-04-22,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-018-20260428,QA,Validation & Calibration Schedule,ALL HPLC COLUMN OVEN,,calibration,yearly,specific_date,2026-04-28,2026-05-08,2025-04-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-019-20260428,QA,Validation & Calibration Schedule,ALL GC COLUMN OVEN,,calibration,yearly,specific_date,2026-04-28,2026-05-08,2025-04-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-020-20260505,QA,Validation & Calibration Schedule,Hour meter premix area (STE 03054),STE 03054,calibration,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-021-20260505,QA,Validation & Calibration Schedule,Hour meter premix area (STE 03055),STE 03055,calibration,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-022-20260505,QA,Validation & Calibration Schedule,Hour meter premix area (PRE01093),PRE01093,calibration,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-023-20260505,QA,Validation & Calibration Schedule,Hour meter premix area (PRE01185),PRE01185,calibration,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-024-20260505,QA,Validation & Calibration Schedule,TEMP.Controller refrigerator ste03014,,calibration,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-025-20260505,QA,Validation & Calibration Schedule,Stability chamber QCI/02026,QCI/02026,temperature_mapping,yearly,specific_date,2026-05-05,2026-05-15,2025-05-06,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-026-20260510,QA,Validation & Calibration Schedule,GPS Master clock GPS C1-C19,GPS C1-C19,calibration,yearly,specific_date,2026-05-10,2026-05-20,2025-05-10,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; report type 'NA' in sheet -> defaulted to calibration,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-027-20260519,QA,Validation & Calibration Schedule,Dynamic pass box &RLAF unit 2,,validation,yearly,specific_date,2026-05-19,2026-05-29,2025-11-20,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: filtech,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-028-20260602,QA,Validation & Calibration Schedule,Dynamic pass box unit 1,,validation,yearly,specific_date,2026-06-02,2026-06-12,2025-12-03,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: filtech,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-029-20260603,QA,Validation & Calibration Schedule,Bod Incubator QCM/02032,QCM/02032,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-031-20260603,QA,Validation & Calibration Schedule,Incubator QCM/02010,QCM/02010,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-032-20260603,QA,Validation & Calibration Schedule,Bactoriological Incubator QCM/02013,QCM/02013,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-033-20260603,QA,Validation & Calibration Schedule,Bactoriological Incubator QCM/02029,QCM/02029,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-034-20260603,QA,Validation & Calibration Schedule,Bactoriological Incubator QCM/02003,QCM/02003,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-035-20260603,QA,Validation & Calibration Schedule,Refrigerator QCM/02011,QCM/02011,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-036-20260603,QA,Validation & Calibration Schedule,Refrigerator STE03014,STE03014,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-037-20260603,QA,Validation & Calibration Schedule,"calibration certificate unit 1 total points 217 1) Magnehelic Gauge 2) Pressure Gauge, 3)Compound Gauge 4)Vacuum Gauge 5)Temperature Controller 6)Thermostat 7) pH Meter 8)Conductivity Meter 9) RPM Meter 10)Temperature Sensor 11) Counter Meter 12) Digital clock 13) RH Controller With Sensr",,calibration,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-038-20260603,QA,Validation & Calibration Schedule,Stability chamber QCI/02027,QCI/02027,temperature_mapping,yearly,specific_date,2026-06-03,2026-06-13,2025-06-04,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-039-20260722,QA,Validation & Calibration Schedule,Hydrogen gas detector system GT-2500-FLP UTL/0472,UTL/0472,calibration,yearly,specific_date,2026-07-22,2026-08-01,2025-07-21,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: ambetronics engineers pvt.ltd,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-040-20260722,QA,Validation & Calibration Schedule,Hydrogen gas detector system GT-2500-FLP UTL/0473,UTL/0473,calibration,yearly,specific_date,2026-07-22,2026-08-01,2025-07-21,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: ambetronics engineers pvt.ltd,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-041-20260721,QA,Validation & Calibration Schedule,Dual channel gas monitor GM-2200-MS ULT/04274,ULT/04274,calibration,yearly,specific_date,2026-07-21,2026-07-31,2025-07-20,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: ambetronics engineers pvt.ltd,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-042-20260731,QA,Validation & Calibration Schedule,Data logger DLT-11 to DLT-18,DLT-11 to DLT-18,calibration,yearly,specific_date,2026-07-31,2026-08-10,2025-08-01,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-043-20260829,QA,Validation & Calibration Schedule,lux meter,,calibration,yearly,specific_date,2026-08-29,2026-09-08,2025-08-30,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-044-20260924,QA,Validation & Calibration Schedule,Stability chamber QCI/02092,QCI/02092,temperature_mapping,yearly,specific_date,2026-09-24,2026-10-04,2025-09-25,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-045-20260924,QA,Validation & Calibration Schedule,Oven QCI/02019,QCI/02019,temperature_mapping,yearly,specific_date,2026-09-24,2026-10-04,2025-09-25,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-046-20260928,QA,Validation & Calibration Schedule,Digital vernier caliper QCI/02002,QCI/02002,calibration,yearly,specific_date,2026-09-28,2026-10-08,2025-09-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-047-20260928,QA,Validation & Calibration Schedule,Measuring Scale,,calibration,yearly,specific_date,2026-09-28,2026-10-08,2025-09-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-048-20260928,QA,Validation & Calibration Schedule,Thermometer GTM-01,GTM-01,calibration,yearly,specific_date,2026-09-28,2026-10-08,2025-09-29,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-049-20261007,QA,Validation & Calibration Schedule,digital bottle cap torque tester unit 1,,calibration,yearly,specific_date,2026-10-07,2026-10-17,2025-10-07,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: nova engineers and instruments,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-050-20261007,QA,Validation & Calibration Schedule,digital bottle cap torque tester unit 2,,calibration,yearly,specific_date,2026-10-07,2026-10-17,2025-10-07,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: nova engineers and instruments,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-051-20261008,QA,Validation & Calibration Schedule,Autoclave QCM/02033,QCM/02033,validation,yearly,specific_date,2026-10-08,2026-10-18,2025-10-09,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-052-20261008,QA,Validation & Calibration Schedule,Autoclave QCM/02030,QCM/02030,validation,yearly,specific_date,2026-10-08,2026-10-18,2025-10-09,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-053-20261122,QA,Validation & Calibration Schedule,data logger DL 01-DL 23,DL 01-DL 23,calibration,yearly,specific_date,2026-11-22,2026-12-02,2025-11-23,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-SCHED-054-20261128,QA,Validation & Calibration Schedule,"calibration certificate unit 2 total points 396 1)Magnehelic Gauge 2)Pressure Gauge, 3)Compound Gauge 4)Vacuum Gauge 5)Temperature Controller 6)Thermostat 7) pH Meter 8)Conductivity Meter 9) RPM Meter 10)Temperature Sensor 11) Counter Meter 12) Digital clock 13) RH Controller With Sensor 14 Digital Electroinc stop watch.",,calibration,yearly,specific_date,2026-11-28,2026-12-08,2025-11-21,,pending,,pending,qa@enicarpharma.com,,,,source sheet '2025-2026'; frequency inferred yearly from annual calibration schedule; Party: calpoint,QA/Year 2025-2026 Validation-calibration schedule-QA.xlsx
QA-VMP1-001-20290808,QA,VMP Annexure 1,Premixing Vessel – 1 500 Ltr,PRE 01099,re-qualification,five-yearly,specific_date,2029-08-08,2029-08-18,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-002-20290808,QA,VMP Annexure 1,Premixing Vessel – 2 500 Ltr,PRE 01100,re-qualification,five-yearly,specific_date,2029-08-08,2029-08-18,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-003-20290605,QA,VMP Annexure 1,Manufacturing Tank 10000 Ltrs,PRE 01077,re-qualification,five-yearly,specific_date,2029-06-05,2029-06-15,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-004-20290606,QA,VMP Annexure 1,Manufacturing Tank 5000 Ltrs,PRE 01078,re-qualification,five-yearly,specific_date,2029-06-06,2029-06-16,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-005-20290715,QA,VMP Annexure 1,Sucrose Syrup Manufacturing Tank 7500 Ltrs,PRE 01101,re-qualification,five-yearly,specific_date,2029-07-15,2029-07-25,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-006-20290713,QA,VMP Annexure 1,Liquid Storage Tank (10000 Ltrs),PRE 01079,re-qualification,five-yearly,specific_date,2029-07-13,2029-07-23,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-007-20290717,QA,VMP Annexure 1,Liquid Storage Tank (10000 Ltrs),PRE 01080,re-qualification,five-yearly,specific_date,2029-07-17,2029-07-27,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-008-20290704,QA,VMP Annexure 1,Bottle Washing Machine 250 BPM,PRE 01087,re-qualification,five-yearly,specific_date,2029-07-04,2029-07-14,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-009-20290704,QA,VMP Annexure 1,20-Head Mono-Block Volumetric Bottle Filling & ROPP Cap Sealing Machine 250 BPM,PRE 01088,re-qualification,five-yearly,specific_date,2029-07-04,2029-07-14,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Once in a Five year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-010-20260519,QA,VMP Annexure 1,Dynamic Pass boxes (Production),PRE 01093 to PRE 01094,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-010-20261118,QA,VMP Annexure 1,Dynamic Pass boxes (Production),PRE 01093 to PRE 01094,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-011-20260519,QA,VMP Annexure 1,Dynamic Pass boxes (Store),STE 03054 to STE 03055,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-011-20261118,QA,VMP Annexure 1,Dynamic Pass boxes (Store),STE 03054 to STE 03055,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-012-20260519,QA,VMP Annexure 1,Dynamic Pass boxes (Sugar area),PRE 01185,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-012-20261118,QA,VMP Annexure 1,Dynamic Pass boxes (Sugar area),PRE 01185,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-013-20260519,QA,VMP Annexure 1,Dynamic Pass boxes (Filling area),PRE 01097 to PRE 01098,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-013-20261118,QA,VMP Annexure 1,Dynamic Pass boxes (Filling area),PRE 01097 to PRE 01098,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-014-20260519,QA,VMP Annexure 1,Sampling Booth (Active),STE 03060,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-014-20261118,QA,VMP Annexure 1,Sampling Booth (Active),STE 03060,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-015-20260519,QA,VMP Annexure 1,Sampling Booth (Inactive),STE 03061,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-015-20261118,QA,VMP Annexure 1,Sampling Booth (Inactive),STE 03061,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-016-20260519,QA,VMP Annexure 1,Dispensing Booth (Active),STE 03062,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-016-20261118,QA,VMP Annexure 1,Dispensing Booth (Active),STE 03062,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-017-20260519,QA,VMP Annexure 1,Dispensing Booth (Inactive),STE 03063,validation,half-yearly,specific_date,2026-05-19,2026-05-29,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
QA-VMP1-017-20261118,QA,VMP Annexure 1,Dispensing Booth (Inactive),STE 03063,validation,half-yearly,specific_date,2026-11-18,2026-11-28,,,pending,,pending,qa@enicarpharma.com,,,,Annaexure 1; raw frequency 'Twice in a year',QA/VMP 2026  (Annexure 1 to 7)-QA.xlsx
