task_id,department,planner_type,task_name,equipment_or_item_id,activity_type,frequency,due_type,due_date,report_due_date,last_done_date,action_done_date,action_status,report_done_date,report_status,responsible_email,report_link,rescheduled_from,reschedule_reason,remarks,source_file
SOP-UTL-033-20260908,Engineering,SOP Review,Review SOP-UTL-033 - Water Softener Plant,SOP-UTL-033,sop_review,two-yearly,specific_date,2026-09-08,2026-09-18,2024-09-09,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2024-09-09,QA_SOP/SOP INDEX.xlsx
SOP-UTL-039-20270515,Engineering,SOP Review,Review SOP-UTL-039 - Forklift Machine,SOP-UTL-039,sop_review,two-yearly,specific_date,2027-05-15,2027-05-25,2025-05-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-05-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-040-20270523,Engineering,SOP Review,"Review SOP-UTL-040 - SOP for Operation, Cleaning & Calibration of Weighing Balance.",SOP-UTL-040,sop_review,two-yearly,specific_date,2027-05-23,2027-06-02,2025-05-24,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-05-24,QA_SOP/SOP INDEX.xlsx
SOP-UTL-036-20270824,Engineering,SOP Review,Review SOP-UTL-036 - Desktop Policy,SOP-UTL-036,sop_review,two-yearly,specific_date,2027-08-24,2027-09-03,2025-08-25,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-08-25,QA_SOP/SOP INDEX.xlsx
SOP-UTl-001-20270926,Engineering,SOP Review,Review SOP-UTl-001 - Purified Water Generation & Distribution System,SOP-UTl-001,sop_review,two-yearly,specific_date,2027-09-26,2027-10-06,2025-09-27,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-09-27,QA_SOP/SOP INDEX.xlsx
SOP-UTL-041-20271008,Engineering,SOP Review,Review SOP-UTL-041 - Lux Meter,SOP-UTL-041,sop_review,two-yearly,specific_date,2027-10-08,2027-10-18,2025-10-09,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-10-09,QA_SOP/SOP INDEX.xlsx
SCP-UTL-004-20271014,Engineering,SOP Review,Review SCP-UTL-004 - Laminar Air Flow Booth Pre filters,SCP-UTL-004,sop_review,two-yearly,specific_date,2027-10-14,2027-10-24,2025-10-15,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-10-15,QA_SOP/SOP INDEX.xlsx
SCP-UTL-001-20271031,Engineering,SOP Review,Review SCP-UTL-001 - Air Handling Unit Pre Filter,SCP-UTL-001,sop_review,two-yearly,specific_date,2027-10-31,2027-11-10,2025-11-01,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-11-01,QA_SOP/SOP INDEX.xlsx
SOP-UTL-006-20271130,Engineering,SOP Review,Review SOP-UTL-006 - Preparation of Dosing Solution,SOP-UTL-006,sop_review,two-yearly,specific_date,2027-11-30,2027-12-10,2025-12-01,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-12-01,QA_SOP/SOP INDEX.xlsx
SOP-UTL-042-20271202,Engineering,SOP Review,Review SOP-UTL-042 - Maintenance of Gas Detection System,SOP-UTL-042,sop_review,two-yearly,specific_date,2027-12-02,2027-12-12,2025-12-03,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-12-03,QA_SOP/SOP INDEX.xlsx
SOP-UTL-034-20271205,Engineering,SOP Review,Review SOP-UTL-034 - Building Maintenance,SOP-UTL-034,sop_review,two-yearly,specific_date,2027-12-05,2027-12-15,2025-12-06,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2025-12-06,QA_SOP/SOP INDEX.xlsx
SOP-UTL-004-20280311,Engineering,SOP Review,Review SOP-UTL-004 - Boiler,SOP-UTL-004,sop_review,two-yearly,specific_date,2028-03-11,2028-03-21,2026-03-12,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-12,QA_SOP/SOP INDEX.xlsx
SOP-UTL-016-20280311,Engineering,SOP Review,Review SOP-UTL-016 - Preventive Maintenance of Air Conditioner Unit,SOP-UTL-016,sop_review,two-yearly,specific_date,2028-03-11,2028-03-21,2026-03-12,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-12,QA_SOP/SOP INDEX.xlsx
SOP-UTL-020-20280311,Engineering,SOP Review,Review SOP-UTL-020 - Preventive Maintenance of Hoist Lift and Passenger Lift,SOP-UTL-020,sop_review,two-yearly,specific_date,2028-03-11,2028-03-21,2026-03-12,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-12,QA_SOP/SOP INDEX.xlsx
SCP-UTL-002-20280313,Engineering,SOP Review,Review SCP-UTL-002 - Water Storage Tank,SCP-UTL-002,sop_review,two-yearly,specific_date,2028-03-13,2028-03-23,2026-03-14,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-14,QA_SOP/SOP INDEX.xlsx
SCP-UTL-003-20280313,Engineering,SOP Review,Review SCP-UTL-003 - Ventilation Pre Filters,SCP-UTL-003,sop_review,two-yearly,specific_date,2028-03-13,2028-03-23,2026-03-14,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-14,QA_SOP/SOP INDEX.xlsx
SCP-UTL-005-20280313,Engineering,SOP Review,Review SCP-UTL-005 - Effluent Treatment Plant (ETP),SCP-UTL-005,sop_review,two-yearly,specific_date,2028-03-13,2028-03-23,2026-03-14,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-14,QA_SOP/SOP INDEX.xlsx
SCP-UTL-006-20280313,Engineering,SOP Review,Review SCP-UTL-006 - Air Curtain,SCP-UTL-006,sop_review,two-yearly,specific_date,2028-03-13,2028-03-23,2026-03-14,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-14,QA_SOP/SOP INDEX.xlsx
SCP-UTL-009-20280315,Engineering,SOP Review,Review SCP-UTL-009 - Cartage Filters,SCP-UTL-009,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-010-20280315,Engineering,SOP Review,Review SOP-UTL-010 - Preventive Maintenance of Store Equipment,SOP-UTL-010,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-012-20280315,Engineering,SOP Review,Review SOP-UTL-012 - Preventive Maintenance of Quality Control Equipments,SOP-UTL-012,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-013-20280317,Engineering,SOP Review,Review SOP-UTL-013 - Preventive Maintenance of Diesel Generator,SOP-UTL-013,sop_review,two-yearly,specific_date,2028-03-17,2028-03-27,2026-03-18,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-18,QA_SOP/SOP INDEX.xlsx
SOP-UTL-007-20280318,Engineering,SOP Review,Review SOP-UTL-007 - Effluent Treatment Plant,SOP-UTL-007,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-015-20280318,Engineering,SOP Review,Review SOP-UTL-015 - Preventive Maintenance of Ventilation Unit,SOP-UTL-015,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-017-20280318,Engineering,SOP Review,Review SOP-UTL-017 - Preventive Maintenance of Sachets Filling and Sealing Machine,SOP-UTL-017,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-022-20280318,Engineering,SOP Review,Review SOP-UTL-022 - Preventive Maintenance of Insectocutor,SOP-UTL-022,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-023-20280318,Engineering,SOP Review,Review SOP-UTL-023 - Preventive Maintenance of Transformer,SOP-UTL-023,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-024-20280318,Engineering,SOP Review,Review SOP-UTL-024 - Preventive Maintenance of PVC Shrink Machine,SOP-UTL-024,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-025-20280318,Engineering,SOP Review,Review SOP-UTL-025 - Preventive Maintenance of Bottle Labelling Machine,SOP-UTL-025,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-018-20280319,Engineering,SOP Review,Review SOP-UTL-018 - Preventive Maintenance of Air Curtain,SOP-UTL-018,sop_review,two-yearly,specific_date,2028-03-19,2028-03-29,2026-03-20,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-20,QA_SOP/SOP INDEX.xlsx
SOP-UTL-027-20280319,Engineering,SOP Review,Review SOP-UTL-027 - Preventive Maintenance of Strapping Machine,SOP-UTL-027,sop_review,two-yearly,specific_date,2028-03-19,2028-03-29,2026-03-20,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-20,QA_SOP/SOP INDEX.xlsx
SOP-UTL-028-20280319,Engineering,SOP Review,Review SOP-UTL-028 - Flooded Screw Chiller (1 & 2) and Cooling Tower (1 & 2).,SOP-UTL-028,sop_review,two-yearly,specific_date,2028-03-19,2028-03-29,2026-03-20,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-03-20,QA_SOP/SOP INDEX.xlsx
SOP-UTL-043-20280331,Engineering,SOP Review,Review SOP-UTL-043 - Operation & Preventive Maintenance of Fire Alarm System,SOP-UTL-043,sop_review,two-yearly,specific_date,2028-03-31,2028-04-10,2026-04-01,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-04-01,QA_SOP/SOP INDEX.xlsx
SCP-UTL-007-20280428,Engineering,SOP Review,Review SCP-UTL-007 - Insectocutor,SCP-UTL-007,sop_review,two-yearly,specific_date,2028-04-28,2028-05-08,2026-04-29,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-04-29,QA_SOP/SOP INDEX.xlsx
SOP-UTL-005-20280515,Engineering,SOP Review,Review SOP-UTL-005 - Breakdown of Equipment,SOP-UTL-005,sop_review,two-yearly,specific_date,2028-05-15,2028-05-25,2026-05-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-05-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-009-20280515,Engineering,SOP Review,Review SOP-UTL-009 - Preventive Maintenance of Production Equipment,SOP-UTL-009,sop_review,two-yearly,specific_date,2028-05-15,2028-05-25,2026-05-16,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-05-16,QA_SOP/SOP INDEX.xlsx
SOP-UTL-008-20280518,Engineering,SOP Review,Review SOP-UTL-008 - Air Handling Units,SOP-UTL-008,sop_review,two-yearly,specific_date,2028-05-18,2028-05-28,2026-05-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-05-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-014-20280518,Engineering,SOP Review,Review SOP-UTL-014 - Preventive Maintenance of  Air Handling Unit,SOP-UTL-014,sop_review,two-yearly,specific_date,2028-05-18,2028-05-28,2026-05-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-05-19,QA_SOP/SOP INDEX.xlsx
SOP-UTL-031-20280518,Engineering,SOP Review,Review SOP-UTL-031 - Sanitization of Purified Water Storage Tank & Distribution Loop,SOP-UTL-031,sop_review,two-yearly,specific_date,2028-05-18,2028-05-28,2026-05-19,,pending,,pending,engineering@enicarpharma.com,,,,SOP INDEX sheet ENGINEERING; issued 2026-05-19,QA_SOP/SOP INDEX.xlsx
SOP-QC-141-20260825,Micro,SOP Review,Review SOP-QC-141 - Operation and Calibration Digital Zone Reader,SOP-QC-141,sop_review,two-yearly,specific_date,2026-08-25,2026-09-04,2024-08-26,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2024-08-26,QA_SOP/SOP INDEX.xlsx
SOP-QC-148-20261027,Micro,SOP Review,Review SOP-QC-148 - Identification of Environmental Isolates,SOP-QC-148,sop_review,two-yearly,specific_date,2026-10-27,2026-11-06,2024-10-28,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2024-10-28,QA_SOP/SOP INDEX.xlsx
SOP-QC-149-20270121,Micro,SOP Review,Review SOP-QC-149 - Operation and Calibration Procedure of Air Sampler With Compress Air Accessories,SOP-QC-149,sop_review,two-yearly,specific_date,2027-01-21,2027-01-31,2025-01-22,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-01-22,QA_SOP/SOP INDEX.xlsx
SOP-QC-113-20270317,Micro,SOP Review,Review SOP-QC-113 - Microbial Limit Test of Primary Packing Material,SOP-QC-113,sop_review,two-yearly,specific_date,2027-03-17,2027-03-27,2025-03-18,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-03-18,QA_SOP/SOP INDEX.xlsx
SOP-QC-146-20270323,Micro,SOP Review,Review SOP-QC-146 - Heating Mantle,SOP-QC-146,sop_review,two-yearly,specific_date,2027-03-23,2027-04-02,2025-03-24,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-03-24,QA_SOP/SOP INDEX.xlsx
SOP-QC-111-20270412,Micro,SOP Review,Review SOP-QC-111 - Microbial Limit Test of Water,SOP-QC-111,sop_review,two-yearly,specific_date,2027-04-12,2027-04-22,2025-04-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-04-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-112-20270412,Micro,SOP Review,Review SOP-QC-112 - Microbial Limit Tests of Raw Material and Finished Product,SOP-QC-112,sop_review,two-yearly,specific_date,2027-04-12,2027-04-22,2025-04-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-04-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-135-20270412,Micro,SOP Review,Review SOP-QC-135 - Operation of Colony Counter and Calibration Procedure,SOP-QC-135,sop_review,two-yearly,specific_date,2027-04-12,2027-04-22,2025-04-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-04-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-103-20270505,Micro,SOP Review,Review SOP-QC-103 - Operation of Autoclave,SOP-QC-103,sop_review,two-yearly,specific_date,2027-05-05,2027-05-15,2025-05-06,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-06,QA_SOP/SOP INDEX.xlsx
SOP-QC-106-20270507,Micro,SOP Review,Review SOP-QC-106 - Preparation and Destruction of Media and Cultures For Microbiological Analysis,SOP-QC-106,sop_review,two-yearly,specific_date,2027-05-07,2027-05-17,2025-05-08,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-08,QA_SOP/SOP INDEX.xlsx
SOP-QC-125-20270508,Micro,SOP Review,Review SOP-QC-125 - Cleaning of Microbiology Section,SOP-QC-125,sop_review,two-yearly,specific_date,2027-05-08,2027-05-18,2025-05-09,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-09,QA_SOP/SOP INDEX.xlsx
SOP-QC-134-20270508,Micro,SOP Review,Review SOP-QC-134 - Microbial Limit Tests of Bulk Product,SOP-QC-134,sop_review,two-yearly,specific_date,2027-05-08,2027-05-18,2025-05-09,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-09,QA_SOP/SOP INDEX.xlsx
SOP-QC-108-20270511,Micro,SOP Review,Review SOP-QC-108 - Destruction of Expired Media Pack,SOP-QC-108,sop_review,two-yearly,specific_date,2027-05-11,2027-05-21,2025-05-12,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-12,QA_SOP/SOP INDEX.xlsx
SOP-QC-139-20270511,Micro,SOP Review,Review SOP-QC-139 - Operation and Calibration of pH Meter,SOP-QC-139,sop_review,two-yearly,specific_date,2027-05-11,2027-05-21,2025-05-12,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-12,QA_SOP/SOP INDEX.xlsx
SOP-QC-110-20270512,Micro,SOP Review,Review SOP-QC-110 - Operation and Calibration Procedure of Laminar Air Flow Work Station,SOP-QC-110,sop_review,two-yearly,specific_date,2027-05-12,2027-05-22,2025-05-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-123-20270515,Micro,SOP Review,Review SOP-QC-123 - Operation and Calibration and Temperature Monitoring Procedure for Incubator,SOP-QC-123,sop_review,two-yearly,specific_date,2027-05-15,2027-05-25,2025-05-16,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-16,QA_SOP/SOP INDEX.xlsx
SOP-QC-101-20270523,Micro,SOP Review,Review SOP-QC-101 - Entry and Exit in Microbiology Section,SOP-QC-101,sop_review,two-yearly,specific_date,2027-05-23,2027-06-02,2025-05-24,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-05-24,QA_SOP/SOP INDEX.xlsx
SOP-QC-144-20270904,Micro,SOP Review,Review SOP-QC-144 - Operation of Autoclave,SOP-QC-144,sop_review,two-yearly,specific_date,2027-09-04,2027-09-14,2025-09-05,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-09-05,QA_SOP/SOP INDEX.xlsx
SOP-QC-147-20270907,Micro,SOP Review,Review SOP-QC-147 - Refrigerator,SOP-QC-147,sop_review,two-yearly,specific_date,2027-09-07,2027-09-17,2025-09-08,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-09-08,QA_SOP/SOP INDEX.xlsx
SOP-QC-105-20270912,Micro,SOP Review,Review SOP-QC-105 - Validation of Autoclave,SOP-QC-105,sop_review,two-yearly,specific_date,2027-09-12,2027-09-22,2025-09-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-09-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-114-20270912,Micro,SOP Review,Review SOP-QC-114 - Sampling of Water,SOP-QC-114,sop_review,two-yearly,specific_date,2027-09-12,2027-09-22,2025-09-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-09-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-145-20270912,Micro,SOP Review,Review SOP-QC-145 - Handling of Out of Specification (OOS),SOP-QC-145,sop_review,two-yearly,specific_date,2027-09-12,2027-09-22,2025-09-13,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-09-13,QA_SOP/SOP INDEX.xlsx
SOP-QC-124-20271002,Micro,SOP Review,Review SOP-QC-124 - Sanitizing the Microbiology Section by Fogging,SOP-QC-124,sop_review,two-yearly,specific_date,2027-10-02,2027-10-12,2025-10-03,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-10-03,QA_SOP/SOP INDEX.xlsx
SOP-QC-126-20271114,Micro,SOP Review,Review SOP-QC-126 - Receiving and Maintaining the Stock and Usage of Media,SOP-QC-126,sop_review,two-yearly,specific_date,2027-11-14,2027-11-24,2025-11-15,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-11-15,QA_SOP/SOP INDEX.xlsx
SOP-QC-130-20271120,Micro,SOP Review,Review SOP-QC-130 - Microbial Evaluation of Drains by Swab Method,SOP-QC-130,sop_review,two-yearly,specific_date,2027-11-20,2027-11-30,2025-11-21,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2025-11-21,QA_SOP/SOP INDEX.xlsx
SOP-QC-121-20280315,Micro,SOP Review,Review SOP-QC-121 - Microbial Evaluation of Area and Equipment Cleaning by Swab Method,SOP-QC-121,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-QC-128-20280315,Micro,SOP Review,Review SOP-QC-128 - Checking Personnel Hygiene of Workers by Hand Swab Method,SOP-QC-128,sop_review,two-yearly,specific_date,2028-03-15,2028-03-25,2026-03-16,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2026-03-16,QA_SOP/SOP INDEX.xlsx
SOP-QC-143-20280316,Micro,SOP Review,Review SOP-QC-143 - Microbial Limit Test Validation,SOP-QC-143,sop_review,two-yearly,specific_date,2028-03-16,2028-03-26,2026-03-17,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2026-03-17,QA_SOP/SOP INDEX.xlsx
SOP-QC-118-20280317,Micro,SOP Review,Review SOP-QC-118 - Efficacy Testing of Disinfectant,SOP-QC-118,sop_review,two-yearly,specific_date,2028-03-17,2028-03-27,2026-03-18,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2026-03-18,QA_SOP/SOP INDEX.xlsx
SOP-QC-107-20280318,Micro,SOP Review,Review SOP-QC-107 - Allocating Batch Number to Prepared and Sterilised Media,SOP-QC-107,sop_review,two-yearly,specific_date,2028-03-18,2028-03-28,2026-03-19,,pending,,pending,micro@enicarpharma.com,,,,SOP INDEX sheet MICRO; issued 2026-03-19,QA_SOP/SOP INDEX.xlsx
